id,split,MSA,EGY,EGY Translation
5733,corpus-6-test-corpus-26-dev,"أريد كوبا من الماء لأتناول بعض الدواء , من فضلك .",عايز كوبايه ميه علشان اخد الدوا، من فضلك .,"أريد كوبا من الماء لأتناول بعض الدواء, من فضل"
5761,corpus-6-test-corpus-26-train,أكون ممتنا جدا لو أخذتني إلى الشاطئ .,حأكون ممنونه اكتر لو اخدتني للشاطئ .,أكون ممتنا جدا لو أخذتني إلى الشاطئ.
5772,corpus-6-test-corpus-26-train,آسف . لقد اتصلت بالرقم الخطأ . هذه وكالة تانكيوشا الصحفية .,انا اسف . انت طلبت رقم غلط . ديه تانكيوشا برس.,آسف. لقد اتصلت بالرقم الخطأ. هذه
5779,corpus-6-test-corpus-26-train,إننا سندفع الحساب ونغادر .,احنا بنعمل تشيك اوت.,إننا سندفع الحساب ونغادر.
5830,corpus-6-test-corpus-26-dev,ما نوع هذه الموسيقى ؟,ايه المزيكا ديه؟,ما نوع هذه الموسيقى ؟
5847,corpus-6-test-corpus-26-train,"من فضلك أعط طفلك هذا الدواء الشراب , جرعة واحدة بعد كل وجبة .",من فضلك ادي الشراب ده لأبنك، جرعة واحدة، بعد كل وجبة .,"من فضلك أعط طفلك هذا الدواء الشراب, جرعة"
5848,corpus-6-test-corpus-26-train,"هذا الموديل متوفر بمقاسات ثمانية وعشرين , وواحد وثلاثين وخمسة وثلاثين سنتيمترا .",الموديل ده متوفر لمقاسات تمانية و عشرين، واحد وتلاتين و مقاس خمسه تلاتين سانتي .,"هذا الموديل متوفر بمقاسات ثمانية وعشرين, وواحد"
5875,corpus-6-test-corpus-26-train,"أوه , يبدو كأنه قرعة .",اوه، ده شكله كتير .,"أوه, يبدو كأنه قرعة."
5898,corpus-6-test-corpus-26-train,هل يمكن أن أستعمل هاتفك ؟,ممكن أستعمل تليفونك؟,هل يمكن أن أستعمل هاتفك ؟
5902,corpus-6-test-corpus-26-test,رائحته جميلة . كم ثمنه ؟,ريحته حلوة قوي . تمنه كام؟,رائحته جميلة. كم ثمنه ؟
5906,corpus-6-test-corpus-26-train,أريد أن أعيد التأكيد على رحلتي إلى شيكاغو في السابع عشر .,عايز أأكد حجزي لطيارة شيكاغو يوم سبعتاشر .,أريد أن أعيد التأكيد على رحلتي إلى شيكاغو في الس
5913,corpus-6-test-corpus-26-train,أكلت كثيرا نوعا ما .,انا اكلت اكتر من اللازم .,أكلت كثيرا نوعا ما.
5914,corpus-6-test-corpus-26-train,هل يمكن أن أتحدث إلى السيدة براون ؟,ممكن اتكلم مع مس براون؟,هل يمكن أن أتحدث إلى السيدة براون ؟
5916,corpus-6-test-corpus-26-train,"هذا البيت يبدو مريحا للمعيشة فيه , أليس كذلك ؟",البيت ده شكله مناسب ان الواحد يعيش فيه، مش كده؟,"هذا البيت يبدو مريحا للمعيشة فيه, أليس ك"
5934,corpus-6-test-corpus-26-dev,أريد أن أحجز على شركة نورث وست إيرلينز على الرحلة رقم صفر ثمانية ستة في الخامس .,عايز أحجز على خطوط نورثويست رحلة زيرو تمانية سته ليوم خمسة.,أريد أن أحجز على شركة نورث وست إيرلينز على
5940,corpus-6-test-corpus-26-train,"محفظتي , جواز السفر ومتعلقات شخصية أخرى .",محفظتي، باسبوري و غيره من الحاجات الشخصية .,"محفظتي, جواز السفر ومتعلقات شخصية أخرى."
5956,corpus-6-test-corpus-26-train,متى تغلقون ؟,امتى بتقفل؟,متى تغلقون ؟
5974,corpus-6-test-corpus-26-test,انتظر دقيقة . ربما أكون قد تركته في غرفة الاستراحة .,استنى دقيقة . ممكن اكون سبته في الحمام .,انتظر دقيقة. ربما أكون قد تركته في غرفة الاستراح
5987,corpus-6-test-corpus-26-train,هذا بالضبط ما كنت سأقوله .,ده بالظبط اللي كنت حأقولة .,هذا بالضبط ما كنت سأقوله.
5988,corpus-6-test-corpus-26-train,"نعم , أعتقد ذلك .",أيوه، متهيألي .,"نعم, أعتقد ذلك."
5997,corpus-6-test-corpus-26-train,منزلك كبير . كم عدد الغرف ؟,بيتك كبير . فيه كام أوضه ؟,منزلك كبير. كم عدد الغرف ؟
6006,corpus-6-test-corpus-26-train,استمتعنا بالعشاء .,استمتعنا بالعشا ده .,استمتعنا بالعشاء.
6024,corpus-6-test-corpus-26-test,أفهم ، لكن لا أستطيع أن أقولها .,انا فاهم، بس ما اقدرش اتكلم .,أفهم ، لكن لا أستطيع أن أقولها.
6047,corpus-6-test-corpus-26-train,أوو ، نعم ، من فضلك . أنا أتمنى أن لا يصابوا بدوار البحر .,اوه، ايوه، من فضلك . انا بس بأتمنى ما يجيلهومش دوار بحر.,أوو ، نعم ، من فضلك. أنا أتمنى أن
6056,corpus-6-test-corpus-26-test,إلى طوكيو ، من فضلك .,لطوكيو، إذا سمحت .,إلى طوكيو ، من فضلك.
6073,corpus-6-test-corpus-26-train,ما هو موعد وصولنا المقدر ؟,إيه ميعاد الوصول المفترض بتاعنا؟,ما هو موعد وصولنا المقدر ؟
6086,corpus-6-test-corpus-26-train,سأغادر باكراً غداً ، لذلك أود أن أدفع الآن .,انا حأمشي بكرة الصبح، حابب أدفع دلوقتي .,سأغادر باكراً غداً ، لذلك أود أن أدفع
6100,corpus-6-test-corpus-26-test,نبيذ غير حلو ، من فضلك .,نبيد شيري، إذا سمحت .,نبيذ غير حلا ، من فضلك.
6109,corpus-6-test-corpus-26-test,مقعد ممنوع به التدخين ، من فضلك .,كرسي لغير المدخنين، لو سمحت .,مقعد ممنوع به التدخين ، من فضلك.
6156,corpus-6-test-corpus-26-train,هو مشغول الآن .,هو مشغول دلوقتي .,هو مشغول الآن.
6167,corpus-6-test-corpus-26-train,هل الأجانب يمكنهم الحصول على الكتب في المكتبة ؟,هو الاجانب يقدرو يحجزو في المكتبة ديه؟,هل الأجانب يمكنهم الحصول على الكتب في المكتبة ؟
6179,corpus-6-test-corpus-26-train,هل من الممكن أن أمكث في غرفتي حتى الثانية مساءً ؟,ينفع اني استنى في غرفتي لحد اتنين الضهر؟,هل من الممكن أن أمكث في غرفتي حتى الثانية مساءً 
6190,corpus-6-test-corpus-26-train,ها-ها . صباح الخير حان دورك . إنه على ما يرام .,هاها . يوم جميل لوقتك . كده كويس .,ها-ها. صباح الخير حان دورك. إنه على
6193,corpus-6-test-corpus-26-train,أود بعضاً من فيلم رقم ايه إس ايه لهذه الكاميرا ، من فضلك .,عايز فلم رقم ال ايه اس ايه ده للكاميرا دي، من فضلك.,أود بعضاً من فيلم رقم ايه إس ايه لهذه الكا
6205,corpus-6-test-corpus-26-train,أين رسومات مونيت ؟,فين لوحات مونيه؟,أين رسومات مونيت ؟
6214,corpus-6-test-corpus-26-train,البيتزا لذيذة . من صنعها ؟,البيتزا لذيذة قوي . مين عملها؟,البيتزا لذيذة. من صنعها ؟
6221,corpus-6-test-corpus-26-train,ما هو طعم هذا الطبق ؟,يا ترى طعم الاكل ده ايه؟,ما هو طعم هذا الطبق ؟
6227,corpus-6-test-corpus-26-train,هم أيضاً غاليين .,كمان دول غاليين .,هم أيضاً غاليين.
6228,corpus-6-test-corpus-26-train,متى يغادر القطار التالي إلى بوسطن ؟,امتى حيمشي القطر الجاي اللي رايح بوستون؟,متى يغادر القطار التالي إلى بوسطن ؟
6232,corpus-6-test-corpus-26-dev,أخطط لتعلم الجولف .,بأخطط اتعلم جولف .,أخطط لتعلم الجولف.
6247,corpus-6-test-corpus-26-dev,من فضلك أعطني مشروباً أخر .,من فضلك اديني كاس تاني .,من فضلك أعطني مشروباً أخر.
6253,corpus-6-test-corpus-26-train,يا له من راكب ماهر للأمواج .,راكب امواج حلو قوي .,يا له من راكب ماهر للأمواج.
6272,corpus-6-test-corpus-26-train,أخشى أن تكون الأكمام قصيرة جدا .,للأسف الكمام قصيرة قوي .,أخشى أن تكون الأكمام قصيرة جدا.
6283,corpus-6-test-corpus-26-train,هل يمكنك أن تريني كيف أضع الغاز ؟,ممكن توريني ازاي احط بنزين في العربية؟,هل يمكنك أن تريني كيف أضع الغاز ؟
6285,corpus-6-test-corpus-26-train,هل أجرة الفندق تضم الإفطار ؟,هو المبلغ اللي اندفع للفندق شامل الفطار؟,هل أجرة الفندق تضم الإفطار ؟
6287,corpus-6-test-corpus-26-train,هل هذا كل شيء ؟,ده كل حاجه؟,هل هذا كل شيء ؟
6291,corpus-6-test-corpus-26-train,إنه في نهاية هذا الطريق .,علطول الطريق ده.,إنه في نهاية هذا الطريق.
6339,corpus-6-test-corpus-26-train,من فضلك ابدأ العداد .,إذا سمحت شغل العداد .,من فضلك ابدأ العداد.
6363,corpus-6-test-corpus-26-train,غرفتي أبرد من اللازم .,اوضتي برد قوي .,غرفتي أبرد من اللازم.
6411,corpus-6-test-corpus-26-train,سأعود إليك عندما تكون أقل انشغالاً .,حأرجعلك لما تكون مشغوليتك أقل .,سأعود إليك عندما تكون أقل انشغالاً.
6413,corpus-6-test-corpus-26-dev,هل لديك واحد أكبر ؟,عندك حاجة اكبر؟,هل لديك واحد أكبر ؟
6418,corpus-6-test-corpus-26-train,أشعر بتحسن .,انا حاسس اني احسن .,أشعر بتحسن.
6430,corpus-6-test-corpus-26-dev,هل أنت ملم بجغرافيا اليابان ؟,انت متعود و فاهم جغرفية اليابان؟,هل أنت ملم بجغرافيا اليابان ؟
6436,corpus-6-test-corpus-26-train,من فضلك أرني أين أنا على هذه الخريطة .,من فضلك وريني انا فين عالخريطة ديه .,من فضلك أرني أين أنا على هذه الخريطة 
6437,corpus-6-test-corpus-26-train,مائة بالمائة قطن .,ميه في الميه قطن .,مائة بالمائة قطن.
6466,corpus-6-test-corpus-26-train,أود أن أغير لغرفة تطل على المحيط . هل توجد أي رسوم إضافية ؟,عايز اغير لأوده بتطل عالمحيط . فيه اى مبلغ أضافي مفروض ادفعه؟,أود أن أغير لغرفة تطل على المحيط. هل توجد أي
6472,corpus-6-test-corpus-26-train,كم ثمن إيجار نصف يوم للوحة ؟,يكلفني كلم تأجير لوح السباحه ده لنص يوم؟,كم ثمن إيجار نصف يوم للوحة ؟
6481,corpus-6-test-corpus-26-train,العاشر من نوفمبر .,عشرة نوفمبر .,العاشر من نوفمبر.
6484,corpus-6-test-corpus-26-dev,أود شريطاً للآلة الكاتبة .,عايز شريط اله كاتبه .,أود شريطاً للآلة الكاتبة.
6492,corpus-6-test-corpus-26-train,إنها لذيذة جداً .,طعمه حلو قوي .,إنها لذيذة جداً.
6497,corpus-6-test-corpus-26-train,متى سنقلع ؟,امتى حنكون في الجو؟,متى سنقلع ؟
6498,corpus-6-test-corpus-26-train,كيف عرفت السائق متى تريد أن تنزل ؟,ازاي بتخلي السواق يعرف لما تعوز تنزل من العربية؟,كيف عرفت السائق متى تريد أن تنزل ؟
6513,corpus-6-test-corpus-26-train,أربعة وعشرين دولاراً . هل تريد المزيد ؟,اربعه و عشرين دولار . عايز اكتر؟,أربعة وعشرين دولاراً. هل تريد المزيد ؟
6515,corpus-6-test-corpus-26-train,عملت الحجز في طوكيو منذ شهر .,انا حجزت لطوكيو من شهر .,عملت الحجز في طوكيو منذ شهر.
6517,corpus-6-test-corpus-26-train,أشكرك من أعماق قلبي .,بأشكرك من أعماق قلبي .,أشكرك من أعماق قلبي.
6525,corpus-6-test-corpus-26-train,هل أنزل هنا لمركز روكفيلر ؟,مفروض انزل هنا علشان اروح سنتر روكفلر؟,هل أنزل هنا لمركز روكفيلر ؟
6539,corpus-6-test-corpus-26-train,من فضلك قس حجم حذائي .,لو سمحت خد مقاس رجلي علشان الحذاء .,من فضلك قس حجم حذائي.
6547,corpus-6-test-corpus-26-train,إنها رائعة .,اد ايه رائع .,إنها رائعة.
6550,corpus-6-test-corpus-26-train,هل ستحدد موعداً للخروج معي ؟,ممكن تخرجي معايا في ميعاد رومانسي؟,هل ستحدد موعداً للخروج معي ؟
6552,corpus-6-test-corpus-26-train,من فضلك نظف هذا المعطف .,لو سمحت نضف البالطو ده .,من فضلك نظف هذا المعطف.
6553,corpus-6-test-corpus-26-train,أود أن أؤجر قارب بمحرك .,عايز أأجر مركب بموتور .,أود أن أؤجر قارب بمحرك.
6574,corpus-6-test-corpus-26-train,أين قسم السيدات ؟,فين قسم السيدات؟,أين قسم السيدات ؟
6581,corpus-6-test-corpus-26-train,القهوة غير محسوبة .,مش شامل القهوة؟,القهوة غير محسوبة.
6593,corpus-6-test-corpus-26-train,في أي مجال كان من قبل ؟,كان شغال في اى مجال قبل كده؟,في أي مجال كان من قبل ؟
6602,corpus-6-test-corpus-26-train,اللعنة . اللعنة . اللعنة . اللعنة . لقد كبرت معتاداً على وجهها .,زفت . زفت . زفت . زفت . اتعودت على وشها .,اللعنة. اللعنة. اللعنة. اللعنة 
6609,corpus-6-test-corpus-26-train,هل يجب أن أدفع الرسم الإضافي عندما أدخل مبنى ؟,مفروض اني ادفع رسوم اضافيه لما ادخل المبنى؟,هل يجب أن أدفع الرسم الإضافي عندما أدخل مبنى ؟
6613,corpus-6-test-corpus-26-test,أهلاً ، شريكك على الخط . هيا ، من فضلك .,ازيك، شريكك عالخط، اتفضل، من فضلك .,"أهلاً ، شريكك على الخط. هيا, من "
6625,corpus-6-test-corpus-26-train,جرحي يؤلمني .,تعويرتي وجعاني .,جرحي يؤلمني.
6635,corpus-6-test-corpus-26-train,أين المحطة ؟,فين المحطة؟,أين المحطة ؟
6657,corpus-6-test-corpus-26-train,عندي قشعريرة .,انا بأترعش و بارتجف .,عندي قشعريرة.
6659,corpus-6-test-corpus-26-train,ثلاثة أيام .,تلات تيام .,ثلاثة أيام.
6660,corpus-6-test-corpus-26-dev,أعبر الجسر من هناك ، وستجد المكتبة على يدك اليسرى .,عدي الكوبري هناك، و حتلاقي المكتبة على ايدك الشمال .,أعبر الجسر من هناك ، وستجد المكتبة على يد
6692,corpus-6-test-corpus-26-dev,من فضلك ساعدني أعثر على مرشد يتحدث اليابانية .,ممكن تساعدني الاقي مرسد سياحي بيتكلم ياباني.,من فضلك ساعدني أعثر على مرشد يتحدث اليابانية 
6699,corpus-6-test-corpus-26-train,لا أريد واحدة ضخمة .,مش عايز الكبيرة .,لا أريد واحدة ضخمة.
6700,corpus-6-test-corpus-26-train,سيكون هناك تأخير بسيط .,حيكون فيه شويه تأخير .,سيكون هناك تأخير بسيط.
6715,corpus-6-test-corpus-26-train,ما هي الفوارق بين هذه الفنادق ؟,ايه الي يفرق بين الفنادق ديه؟,ما هي الفوارق بين هذه الفنادق ؟
6724,corpus-6-test-corpus-26-test,فاتتني محطتي .,انا فوتت المكان اللي مفروض انزل فيه .,فاتتني محطتي.
6736,corpus-6-test-corpus-26-train,كان عظيماً . شكراً .,ديه حاجة عظيمة . أشكرك .,كان عظيماً. شكراً.
6740,corpus-6-test-corpus-26-dev,سأكون هناك حوالي السادسة مساءً .,حأكون هنا حوالي سته الصبح .,سأكون هناك حوالي السادسة مساءً.
6746,corpus-6-test-corpus-26-train,هل لديك أي شيء لفترة أطول قليلاً ؟,عندك اى حاجه اطول شويه؟,هل لديك أي شيء لفترة أطول قليلاً ؟
6766,corpus-6-test-corpus-26-train,تاريخ الانتهاء تسعة عشر من مارس تسعة وتسعين .,تاريخ الانتهاء مارس الف تسعميه و تسعه و تسعين .,تاريخ الانتهاء تسعة عشر من مارس تسعة وتسعين.
6780,corpus-6-test-corpus-26-test,كيف كانت ؟,هو كان ازاي؟,كيف كانت ؟
6800,corpus-6-test-corpus-26-train,هل توجد أية كازينوهات جيدة ؟,فيه كازينوهات كويسه موجوده؟,هل توجد أية كازينوهات جيدة ؟
6810,corpus-6-test-corpus-26-train,هذه هي فلوس أقلام الحبر . فاتورة بمائة دولار .,الفلوس ديه علشان اقلام الجاف، ورقة بميه دولار .,هذه هي فلوس أقلام الحبر. فاتورة بمائة 
6812,corpus-6-test-corpus-26-train,أين قسم السيدات ؟,فين قسم السيدات؟,أين قسم السيدات ؟
6825,corpus-6-test-corpus-26-train,أين يمكن أن أركب القارب ؟,منين اقدر اركب المركب ده؟,أين يمكن أن أركب القارب ؟
6832,corpus-6-test-corpus-26-train,صديقي مصاب .,صاحبي اتعور .,صديقي مصاب.
6835,corpus-6-test-corpus-26-train,تبدو بصحة جيدة .,شكلك كويس .,تبدو بصحة جيدة.
6836,corpus-6-test-corpus-26-dev,هل سيكون هذا المتجر مفتوحاً غداً ؟,المحل ده حيفتح بكرة؟,هل سيكون هذا المتجر مفتوحاً غداً ؟
6862,corpus-6-test-corpus-26-test,إنه طول الطريق لنهاية البهو .,ده في اخر القاعة .,إنه طول الطريق لنهاية البهو.
6864,corpus-6-test-corpus-26-train,هل يمكنك أن تشذب شاربي ؟,ممكن تقصقص و تظبط شنبي؟,هل يمكنك أن تشذب شاربي ؟
6866,corpus-6-test-corpus-26-dev,هذا يأتي مع طبق السلطة واختيار بين البطاطس المشوية أو المحمرة .,بييجي معاه سلطات و اختيار اما بطاطس مشوية او بطاطس محمرة .,هذا يأتي مع طبق السلطة واختيار بين البطاطس المشوية أو
6875,corpus-6-test-corpus-26-dev,أين يمكنني أن أشتري إبريقاً ؟,منين أقدر أشتري حلة؟,أين يمكنني أن أشتري إبريقاً ؟
6914,corpus-6-test-corpus-26-train,لا يمكن أن أبيع هذه دون روشتة .,ما اقدرش ابيع ديه بدون روشته .,لا يمكن أن أبيع هذه دون روشتة.
6917,corpus-6-test-corpus-26-train,هل يمكن أن أحجز خمسة مقاعد في الصف نفسه .,ممكن احجز خمس كراسي جنب بعض في نفس الصف؟,هل يمكن أن أحجز خمسة مقاعد في الصف نفسه.
6923,corpus-6-test-corpus-26-test,هل يمكنك أن تقرضني حبل القطر ، من فضلك ؟,ممكن تسلفني حبل جر، إذا سمحت؟,هل يمكنك أن تقرضني حبل القطر ، من فضلك 
6944,corpus-6-test-corpus-26-train,أي سيارة ذات أداء أفضل ؟,انه احسن عربية في توفير البنزين؟,أي سيارة ذات أداء أفضل ؟
6960,corpus-6-test-corpus-26-train,لن تأخذ خصماً مهما حاولت .,مش حتاخد خصم مش مهم مهما حاولت جامد .,لن تأخذ خصماً مهما حاولت.
6966,corpus-6-test-corpus-26-train,هلا فتحت هذه الحقيبة ، من فضلك ؟ ماذا يوجد هنا .,ممكن تفتح الشنطة ديه، من فضلك؟ عندك ايه فيها؟,هلا فتحت هذه الحقيبة ، من فضلك ؟ ماذا
6970,corpus-6-test-corpus-26-train,أريد أن أعمل مكالمة مسافة طويلة إلى فندق هيلتون في بوسطن .,عايز اعمل مكالمة دوليه لفندق هيلتون في بوستون .,أريد أن أعمل مكالمة مسافة طويلة إلى فندق هيلتون في
6984,corpus-6-test-corpus-26-test,هل السيدات يقبلن هذا ؟,السيدات بيقبلو ده؟,هل السيدات يقبلن هذا ؟
6991,corpus-6-test-corpus-26-train,كن حذراً ، السقف منخفض .,خلي بالك، السقف واطي .,كن حذراً ، السقف منخفض.
6999,corpus-6-test-corpus-26-train,لا أستطيع رؤية الشاشة جيداً من هنا ، هل يمكنني تبديل المقاعد لبعض الوقت ؟,مش قادر أشوف الشاشة من هنا كويس . ممكن أغير الكراسي شويه؟,لا أستطيع رؤية الشاشة جيداً من هنا ، هل
7030,corpus-6-test-corpus-26-train,لقد قمت بزيارة البحيرات الكبرى لأول مرة .,زرت البحيرات العظمى للمرة الاولى .,لقد قمت بزيارة البحيرات الكبرى لأول مرة.
7048,corpus-6-test-corpus-26-train,ثمة شئ خطأ في آلة التهوية هذه .,فيه حاجة غلط في مكنة البيع ديه .,ثمة شئ خطأ في آلة التهوية هذه.
7057,corpus-6-test-corpus-26-train,أحتاج إلى طيب .,محتاج دكتور .,أحتاج إلى طيب.
7070,corpus-6-test-corpus-26-train,كم المدة التي قضتها هي حتى الآن في المملكة المتحدة ؟,قعدت اد ايه في بريطانيا؟,كم المدة التي قضتها هي حتى الآن في المملكة المتحدة 
7081,corpus-6-test-corpus-26-train,من المرجح أن محبا للإبداع الفني مثلك سيستمتع اللوحات الزيتية غير التقليدية وعروض الموسيقى بالشوارع .,اللي بيحبو الفن الجديد زيك غالبا حيستمتعو برسومات الهيبز و مسرح موسيقى الشارع .,من المرجح أن محبا للإبداع الفني مثلك سيستمتع اللوحات
7098,corpus-6-test-corpus-26-train,كم الوقت ؟,الساعة كام؟,كم الوقت ؟
7099,corpus-6-test-corpus-26-dev,سآخذ هوت دوج وكولا .,حاخد سوسيس و كولا .,سآخذ هوت دوج وكولا.
7104,corpus-6-test-corpus-26-dev,هذا هو مسئول الربط الخارجي .,معاك عامل المكالمات الخارجي .,هذا هو مسئول الربط الخارجي.
7123,corpus-6-test-corpus-26-train,يمكنك رؤية مبنى ابيض اللون ، أليس كذلك ؟ إنه أمام ذلك المبنى .,تقدر تشوف مبنى ابيض، مش كده؟ ده قدام المبنى ده .,يمكنك رؤية مبنى ابيض اللون ، أليس كذلك
7130,corpus-6-test-corpus-26-test,منذ متى ؟,من امتى؟,منذ متى ؟
7137,corpus-6-test-corpus-26-test,ليس لدى أي شئ لكي أعلنه .,ماعنديش حاجة ابلغ عنها .,ليس لدى أي شئ لكي أعلنه.
7198,corpus-6-test-corpus-26-dev,ماذا ؟ هل عليك دفع ضرائب عندما يكون لديك أكثر من ثلاثة زجاجات كحول ؟,ايه؟ مفروض تدفع ضريبة لو معاك اكتر من تلات قزايز خمرة؟,ماذا ؟ هل عليك دفع ضرائب عندما يكون لديك أ
7206,corpus-6-test-corpus-26-dev,صديقي مريض جداً . هل تستطيع أن تطلب دكتور ، من فضلك ؟,صاحبي عيان قوي . ممكن تطلب دكتور، من فضلك؟,صديقي مريض جداً. هل تستطيع أن تطلب دكتور 
7227,corpus-6-test-corpus-26-test,لا أعرف كثيراً عن النبيذ ؟ ماذا يناسب هذا الطبق ؟,انا مش عارف قوي عن النبيد . ايه النوع الكويس للطبق ده؟,لا أعرف كثيراً عن النبيذ ؟ ماذا يناسب هذا
7233,corpus-6-test-corpus-26-dev,هل تستطيع أن تتصل بي في الصباح الباكر ، من فضلك ؟,ممكن تتصلو بيا بكرة الصبح علشان تصحوني، من فضلك؟,هل تستطيع أن تتصل بي في الصباح الباكر ، من فضلك
7248,corpus-6-test-corpus-26-dev,هناك محطة غاز بعد مربعين سكنيين من هنا .,فيه محطة بنزين بعيده بشارعين من هنا.,هناك محطة غاز بعد مربعين سكنيين من هنا.
7253,corpus-6-test-corpus-26-train,اليابانيون لا يأخذون إجازات طويلة .,الناس اليابانيين مش بياخدو اجازات طويله .,اليابانيون لا يأخذون إجازات طويلة.
7264,corpus-6-test-corpus-26-train,اشعر كأن هناك تحديق في . هل من النادر رؤية شخص ياباني ؟,انا حاسس ان الناس بتبحلق فيا . هو نادر كده انك تشوف شخص ياباني؟,اشعر كأن هناك تحديق في. هل من النادر رؤ
7269,corpus-6-test-corpus-26-test,بالطبع لا . لماذا تقول إذا ؟,طبعا لأ . انت ليه بتقول كده؟,بالطبع لا. لماذا تقول إذا ؟
7270,corpus-6-test-corpus-26-train,أي طريق يؤدي إلى مكتب البريد المركزي ؟,اى سكه للمدخل بتاع مكتب البريد الرئيسي؟,أي طريق يؤدي إلى مكتب البريد المركزي ؟
7274,corpus-6-test-corpus-26-train,أين محطة أتوبيس جرايهاوند في هذه البلدة ؟,فين محطة اتوبيس جريهوند في البلد ديه؟,أين محطة أتوبيس جرايهاوند في هذه البلدة ؟
7281,corpus-6-test-corpus-26-train,أليست المطاعم اليابانية في كيوتو غالية ، بالرغم من ذلك ؟,بس مش المطاعم في كيوتو غالية؟,أليست المطاعم اليابانية في كيوتو غالية ، بالرغم من ذلك
7289,corpus-6-test-corpus-26-train,اعتقد أن هذا عالي قليلا بالنسبة لي .,متهيألي الصوت عالي عليا .,اعتقد أن هذا عالي قليلا بالنسبة لي.
7291,corpus-6-test-corpus-26-test,لدينا غرفة مزدوجة بحمام بخمسة و ثمانين دولار .,معاك اوضه بسريرين و حمام مقابل خمسة و عشرين دولار .,لدينا غرفة مزدوجة بحمام بخمسة و ثمانين 
7305,corpus-6-test-corpus-26-train,أريد سعر الكتاب .,عايز ابعت اللي معايا بخدمة البريد البوك ريت.,أريد سعر الكتاب.
7314,corpus-6-test-corpus-26-test,الجو ابرد من المعتاد هذا العام ، لكنه ليس باردا بما يكفى لتساقط الثلج .,الجو اسقع عن المعتاد السته ديه، بس مش سقعة كفاية علشان يعمل تلج .,الجو ابرد من المعتاد هذا العام ، لكنه ليس باردا 
7321,corpus-6-test-corpus-26-train,أين يمكنني شراء تذكرة للمترو ؟,منين أقدر اشتري تذكرة مترو الانفاق؟,أين يمكنني شراء تذكرة للمترو ؟
7335,corpus-6-test-corpus-26-train,سآخذ مقاعد درجة رجال أعمال ، أليس كذلك ؟,حاخد كرسي درجة رجال الاعمال، مش كده؟,سآخذ مقاعد درجة رجال أعمال ، أليس كذلك ؟
7343,corpus-6-test-corpus-26-train,كم أجرة التاكسي من هذا الفندق إلى المحطة ؟,يكلفني كام التاكسي من هنا للمحطة؟,كم أجرة التاكسي من هذا الفندق إلى المحطة ؟
7349,corpus-6-test-corpus-26-train,هل لي بهذه وهذه ، من فضلك ؟,ممكن اخد ديه و ديه، من فضلك؟,هل لي بهذه وهذه ، من فضلك ؟
7381,corpus-6-test-corpus-26-train,يقولون أن اليابان دولة غنية جداً .,بيقولو ان اليابان بلد غني قوي .,يقولون أن اليابان دولة غنية جداً.
7386,corpus-6-test-corpus-26-train,هل هناك أي غرف خالية في عربة النوم ؟,في اى اوض فاضية في عربية النوم؟,هل هناك أي غرف خالية في عربة النوم ؟
7391,corpus-6-test-corpus-26-dev,هل تستطيع خفضها حتى عشرين دولار ، من فضلك ؟,ممكن تنزل السعر لعشرين دولار، من فضلك؟,هل تستطيع خفضها حتى عشرين دولار ، من فضل
7395,corpus-6-test-corpus-26-train,هذه هديه لصديق .,ديه هديه لصديق .,هذه هديه لصديق.
7412,corpus-6-test-corpus-26-train,الثلج يجعل الطريق زلق .,التلج مخللي الطريق مزحلق .,الثلج يجعل الطريق زلق.
7414,corpus-6-test-corpus-26-train,لا أستطيع أن أجد كاميرتي .,مش لاقي الكاميرا بتاعتي .,لا أستطيع أن أجد كاميرتي.
7416,corpus-6-test-corpus-26-test,سأعد سندوتشين من لحم فخذ الخنزير .,حأعمل سندوتشين لحم خنزير .,سأعد سندوتشين من لحم فخذ الخنزير.
7438,corpus-6-test-corpus-26-train,هل لديك أي شئ لإعلانه ؟,عندك حاجة تبلغ عنها؟,هل لديك أي شئ لإعلانه ؟
7439,corpus-6-test-corpus-26-train,هل رأيت معطف أزرق ؟ وضعته على هذا الكرسي .,انت شفت جاكت ازرق؟ انا حطيتة عالكرسي ده .,هل رأيت معطف أزرق ؟ وضعته على هذا الك
7470,corpus-6-test-corpus-26-test,هناك محل لبيع الزهور في الطريق .,في محل لبيع الورد عالرصيف التاني من الشارع .,هناك محل لبيع الزهور في الطريق.
7478,corpus-6-test-corpus-26-train,أنا من طوكيو .,انا من طوكيو .,أنا من طوكيو.
7479,corpus-6-test-corpus-26-train,أريد بعض الغسول لإزالة كريم ريفلون .,عايزة كريم شطف ريفلون .,أريد بعض الغسول لإزالة كريم ريفلون.
7485,corpus-6-test-corpus-26-train,لدي بعض الملابس للمغسلة .,عندي حاجات للغسيل .,لدي بعض الملابس للمغسلة.
7507,corpus-6-test-corpus-26-dev,لقد طلبته منذ وقت طويل .,انا طلبته من وقت طويل .,لقد طلبته منذ وقت طويل.
7533,corpus-6-test-corpus-26-dev,من فضلك هل لك أن ترسل بواباً إلى غرفتي في السادسة صباحاً ؟,ممكن من فضلك تبعت البواب لأوضتي سته الصبح؟,من فضلك هل لك أن ترسل بواباً إلى غرفتي في ال
7549,corpus-6-test-corpus-26-train,سآخذ شيكولاتة ساخنة .,حاخد شوكولاته سخنه .,سآخذ شيكولاتة ساخنة.
